Time [s], Pressure [PSI]
25.06598, -20.64
25.078709999999997, -20.64
25.09144, -20.42
25.10417, -20.64
25.1169, -20.64
25.129630000000002, -20.64
25.14236, -20.64
25.15509, -20.64
25.16782, -20.85
25.18055, -20.64
25.193279999999998, -20.64
25.20601, -20.64
25.21875, -20.64
25.23148, -20.64
25.24421, -20.64
25.25694, -20.64
25.269669999999998, -20.64
25.282400000000003, -20.64
25.29513, -20.64
25.30786, -20.64
25.32059, -20.64
25.33332, -20.64
25.346049999999998, -20.64
25.35878, -20.85
25.371509999999997, -20.85
25.384240000000002, -20.64
25.39697, -20.64
25.4097, -20.64
25.42243, -20.64
25.43516, -20.64
25.44789, -20.85
25.46062, -20.64
25.47335, -20.64
25.48608, -20.64
25.49882, -20.64
25.51155, -20.64
25.524279999999997, -20.64
25.53701, -20.64
25.54974, -20.64
25.56247, -20.64
25.575200000000002, -20.64
25.58793, -20.64
25.60066, -20.64
25.61339, -20.64
25.62612, -20.64
25.638849999999998, -20.85
25.651580000000003, -20.64
25.66431, -20.64
25.67704, -20.64
25.68977, -20.64
25.7025, -20.64
25.71523, -20.64
25.72796, -20.64
25.740689999999997, -20.64
25.75342, -20.85
25.76616, -20.64
25.77889, -20.64
25.791619999999998, -20.64
25.80435, -20.85
25.81708, -20.64
25.829810000000002, -20.85
25.84254, -20.64
25.85527, -20.64
25.868, -20.85
25.88073, -20.64
25.893459999999997, -20.64
25.90619, -20.64
25.91892, -20.64
25.93165, -20.64
25.944380000000002, -20.64
25.95711, -20.64
25.96984, -20.64
25.98257, -20.64
25.9953, -20.64
26.008029999999998, -20.64
26.02076, -20.64
26.0335, -20.64
26.04623, -20.64
26.05896, -20.64
26.07169, -20.64
26.084419999999998, -20.64
26.097150000000003, -20.64
26.10988, -20.64
26.12261, -20.64
26.13534, -20.64
26.14807, -20.85
26.1608, -20.64
26.17353, -20.64
26.186259999999997, -20.64
26.198990000000002, -20.64
26.21172, -20.85
26.22445, -20.64
26.23718, -20.64
26.24991, -20.64
26.26264, -20.85
26.27537, -20.64
26.2881, -20.64
26.30083, -20.64
26.31357, -20.64
26.3263, -20.64
26.339029999999998, -20.64
26.35176, -20.64
26.36449, -20.64
26.37722, -20.85
26.389950000000002, -20.64
26.40268, -20.64
26.41541, -20.64
26.42814, -20.64
26.44087, -20.85
26.453599999999998, -20.64
26.466330000000003, -20.85
26.47906, -20.64
26.49179, -20.85
26.50452, -20.64
26.51725, -20.64
26.52998, -20.64
26.54271, -20.64
26.555439999999997, -20.64
26.56817, -20.64
26.58091, -20.64
26.59364, -20.64
26.60637, -20.64
26.6191, -20.64
26.63183, -20.85
26.644560000000002, -20.64
26.65729, -20.64
26.67002, -20.64
26.68275, -20.64
26.69548, -20.64
26.708209999999998, -20.64
26.72094, -20.64
26.733669999999996, -20.64
26.7464, -20.64
26.759130000000003, -20.64
26.77186, -20.64
26.78459, -20.64
26.79732, -20.64
26.81005, -20.64
26.822779999999998, -20.64
26.83551, -20.64
26.84825, -20.64
26.860979999999998, -20.85
26.87371, -20.64
26.88644, -20.64
26.899169999999998, -20.64
26.911900000000003, -20.85
26.92463, -20.64
26.93736, -20.85
26.95009, -20.64
26.96282, -20.64
26.97555, -20.85
26.98828, -20.64
27.001009999999997, -20.85
27.013740000000002, -20.64
27.02647, -20.64
27.0392, -20.64
27.05193, -20.64
27.06466, -20.64
27.07739, -20.64
27.09012, -20.64
27.10285, -20.64
27.11558, -20.85
27.12832, -20.64
27.14105, -20.64
27.153779999999998, -20.64
27.16651, -20.85
27.17924, -20.64
27.19197, -20.64
27.2047, -20.64
27.21743, -20.85
27.23016, -20.64
27.24289, -20.64
27.25562, -20.85
27.268349999999998, -20.64
27.281080000000003, -20.64
27.29381, -20.64
27.306540000000002, -20.64
27.31927, -20.64
27.332, -20.85
27.34473, -20.64
27.35746, -20.64
27.370189999999997, -20.64
27.38292, -20.64
27.39566, -20.85
27.40839, -20.64
27.42112, -20.64
27.43385, -20.64
27.44658, -20.64
27.459310000000002, -20.64
27.47204, -20.64
27.48477, -20.64
27.4975, -20.64
27.51023, -20.85
27.522959999999998, -20.64
27.53569, -20.64
27.548419999999997, -20.64
27.56115, -20.64
27.573880000000003, -20.85
27.58661, -20.64
27.59934, -20.64
27.61207, -20.64
27.6248, -20.64
27.637529999999998, -20.64
27.65026, -20.64
27.663, -20.64
27.675729999999998, -20.64
27.68846, -20.85
27.70119, -20.64
27.713919999999998, -20.64
27.726650000000003, -20.64
27.73938, -20.64
27.752110000000002, -20.64
27.76484, -20.85
27.77757, -20.64
27.7903, -20.64
27.80303, -20.64
27.815759999999997, -20.64
27.828490000000002, -20.85
27.84122, -20.64
27.85395, -20.85
27.86668, -20.64
27.87941, -20.64
27.892139999999998, -20.64
27.90487, -20.85
27.9176, -20.64
27.93033, -20.64
27.94307, -20.64
27.9558, -20.64
27.968529999999998, -20.85
27.98126, -20.85
27.99399, -20.64
28.00672, -20.64
28.01945, -20.64
28.03218, -20.64
28.04491, -20.85
28.05764, -20.64
28.07037, -20.64
28.083099999999998, -20.64
28.095830000000003, -20.85
28.10856, -20.64
28.121290000000002, -20.85
28.13402, -20.64
28.14675, -20.64
28.15948, -20.64
28.17221, -20.64
28.184939999999997, -20.64
28.19767, -20.64
28.21041, -20.64
28.22314, -20.64
28.23587, -20.64
28.2486, -20.64
28.26133, -20.64
28.274060000000002, -20.85
28.28679, -20.64
28.29952, -20.64
28.31225, -20.64
28.32498, -20.64
28.337709999999998, -20.64
28.35044, -20.85
28.363169999999997, -20.64
28.3759, -20.85
28.388630000000003, -20.85
28.40136, -20.64
28.41409, -20.64
28.42682, -20.64
28.43955, -20.85
28.45228, -20.64
28.46501, -20.64
28.47775, -20.64
28.490479999999998, -20.85
28.50321, -20.64
28.515939999999997, -20.64
28.528669999999998, -20.64
28.541400000000003, -20.64
28.55413, -20.64
28.566860000000002, -20.64
28.57959, -20.64
28.59232, -20.85
28.60505, -20.85
28.61778, -20.85
28.630509999999997, -20.85
28.643240000000002, -20.85
28.65597, -20.85
28.6687, -20.64
28.68143, -20.64
28.69416, -20.85
28.706889999999998, -20.64
28.71962, -20.64
28.73235, -20.85
28.74508, -20.85
28.75782, -20.64
28.77055, -20.64
28.783279999999998, -20.64
28.79601, -20.85
28.80874, -20.64
28.82147, -20.85
28.8342, -20.85
28.84693, -20.85
28.859659999999998, -20.85
28.87239, -20.64
28.88512, -20.85
28.89785, -20.85
28.910580000000003, -20.85
28.92331, -20.85
28.936040000000002, -20.85
28.94877, -20.85
28.9615, -20.64
28.97423, -20.85
28.98696, -20.85
28.999689999999998, -20.85
29.01242, -20.85
29.02516, -20.85
29.03789, -20.85
29.05062, -20.85
29.06335, -20.85
29.07608, -20.85
29.088810000000002, -20.85
29.10154, -20.85
29.11427, -20.85
29.127, -20.85
29.13973, -20.85
29.152459999999998, -20.85
29.16519, -20.64
29.177919999999997, -20.85
29.19065, -20.85
29.203380000000003, -20.85
29.21611, -20.64
29.22884, -20.85
29.24157, -20.85
29.2543, -20.85
29.26703, -20.85
29.27976, -20.85
29.2925, -20.85
29.305229999999998, -20.85
29.31796, -20.64
29.330689999999997, -20.85
29.34342, -20.85
29.356150000000003, -20.85
29.36888, -20.85
